NOMBRE;COLOR;COSTEMANA;TIPOS;EDICION;FECHA;DESCRIPCION;ESTADISTICAS;CANTIDAD
Baloth Null;BG;{4}{B}{G};Creature — Zombie Beast;Masters 25;2018-03-16;When this creature enters, return up to two target creature cards from your graveyard to your hand.;4/5;1
Haliya, Ascendant Cadet;GW;{2}{G}{W}{W};Legendary Creature — Human Soldier;Edge of Eternities;2025-08-01;"Whenever Haliya enters or attacks, put a +1/+1 counter on target creature you control.
Whenever one or more creatures you control with +1/+1 counters on them deal combat damage to a player, draw a card.";3/3;2
Brokers Charm;GUW;{G}{W}{U};Instant;Streets of New Capenna;2022-04-29;"Choose one —
• Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature or planeswalker an opponent controls.
• Destroy target enchantment.
• Draw two cards.";/;1
Infinite Guideline Station;BGRUW;{W}{U}{B}{R}{G};Legendary Artifact — Spacecraft;Edge of Eternities;2025-08-01;"When Infinite Guideline Station enters, create a tapped 2/2 colorless Robot artifact creature token for each multicolored permanent you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
12+ | Flying
Whenever Infinite Guideline Station attacks, draw a card for each multicolored permanent you control.";7/15;1
Pinnacle Kill-Ship;;{7};Artifact — Spacecraft;Edge of Eternities;2025-08-01;"When this Spacecraft enters, it deals 10 damage to up to one target creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying";7/7;2
Nutrient Block;;{1};Artifact — Food;Edge of Eternities;2025-08-01;"Indestructible (Effects that say ""destroy"" don't destroy this artifact.)
{2}, {T}, Sacrifice this artifact: You gain 3 life.
When this artifact is put into a graveyard from the battlefield, draw a card.";/;3
Chrome Cat;;{3};Artifact Creature — Cat;Streets of New Capenna;2022-04-29;When this creature enters, scry 1.;3/2;1
Chrome Companion;;{2};Artifact Creature — Dog;Edge of Eternities;2025-08-01;"Whenever this creature becomes tapped, you gain 1 life.
{2}, {T}: Put target card from a graveyard on the bottom of its owner's library.";2/1;3
Commander's Sphere;;{3};Artifact;Lorwyn Eclipsed Commander;2026-01-23;"{T}: Add one mana of any color in your commander's color identity.
Sacrifice this artifact: Draw a card.";/;2
Wurmwall Sweeper;;{2};Artifact — Spacecraft;Edge of Eternities;2025-08-01;"When this Spacecraft enters, surveil 2.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 4+.)
4+ | Flying";2/2;1
Seer's Lantern;;{3};Artifact;Commander Legends;2020-11-20;"{T}: Add {C}.
{2}, {T}: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)";/;2
Eldrazi Mimic;;{2};Creature — Eldrazi;Oath of the Gatewatch;2016-01-22;Whenever another colorless creature you control enters, you may change this creature's base power and toughness to that creature's power and toughness until end of turn.;2/1;1
Warden of Geometries;;{4};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Vigilance
{T}: Add {C}. ({C} represents colorless mana.)";2/3;1
Blighted Gorge;;;Land;Duel Decks: Merfolk vs. Goblins;2017-10-24;"{T}: Add {C}.
{4}{R}, {T}, Sacrifice this land: It deals 2 damage to any target.";/;1
Command Bridge;;;Land;Edge of Eternities;2025-08-01;"This land enters tapped.
When this land enters, sacrifice it unless you tap an untapped permanent you control.
{T}: Add one mana of any color.";/;1
Scavenger Grounds;;;Land — Desert;Outlaws of Thunder Junction Commander;2024-04-19;"{T}: Add {C}.
{2}, {T}, Sacrifice a Desert: Exile all graveyards.";/;1
Crumbling Vestige;;;Land;Oath of the Gatewatch;2016-01-22;"This land enters tapped.
When this land enters, add one mana of any color.
{T}: Add {C}. ({C} represents colorless mana.)";/;1
Rimewood Falls;;;Snow Land — Forest Island;Kaldheim;2021-02-05;"({T}: Add {G} or {U}.)
This land enters tapped.";/;1
Deepfathom Skulker;;{5}{U};Creature — Eldrazi;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Whenever a creature you control deals combat damage to a player, you may draw a card.
{3}{C}: Target creature can't be blocked this turn. ({C} represents colorless mana.)";4/4;1
Roiling Waters;U;{5}{U}{U};Sorcery;Oath of the Gatewatch;2016-01-22;Return up to two target creatures your opponents control to their owners' hands. Target player draws two cards.;/;1
Starbreach Whale;U;{4}{U};Creature — Whale;Edge of Eternities;2025-08-01;"Flying
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";3/5;1
Screaming Swarm;U;{5}{U};Creature — Bird Horror;Innistrad: Crimson Vow;2021-11-19;"Flying
Whenever you attack with one or more creatures, target player mills that many cards. (To mill a card, a player puts the top card of their library into their graveyard.)
{2}{U}: Put this card from your graveyard into your library second from the top.";4/4;1
Sinister Cryologist;U;{2}{U};Creature — Jellyfish Wizard;Edge of Eternities;2025-08-01;"When this creature enters, target creature an opponent controls gets -3/-0 until end of turn.
Warp {U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";2/3;1
Ertai's Scorn;U;{1}{U}{U};Instant;Dominaria United;2022-09-09;"This spell costs {U} less to cast if an opponent cast two or more spells this turn.
Counter target spell.";/;2
Mahamoti Djinn;U;{4}{U}{U};Creature — Djinn;Ultimate Masters;2018-12-07;Flying (This creature can't be blocked except by creatures with flying or reach.);5/6;1
Scrapskin Drake;U;{2}{U};Creature — Zombie Drake;Duel Decks: Blessed vs. Cursed;2016-02-26;"Flying (This creature can't be blocked except by creatures with flying or reach.)
This creature can block only creatures with flying.";2/3;1
Umara Entangler;U;{1}{U};Creature — Merfolk Rogue Ally;Oath of the Gatewatch;2016-01-22;Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.);2/1;1
Into the Void;U;{3}{U};Sorcery;Conspiracy: Take the Crown;2016-08-26;Return up to two target creatures to their owners' hands.;/;1
Emissary Escort;U;{1}{U};Artifact Creature — Robot Soldier;Edge of Eternities;2025-08-01;This creature gets +X/+0, where X is the greatest mana value among other artifacts you control.;0/4;1
Mechan Shieldmate;U;{1}{U};Artifact Creature — Robot Soldier;Edge of Eternities;2025-08-01;"Defender
As long as an artifact entered the battlefield under your control this turn, this creature can attack as though it didn't have defender.";3/2;1
Cloudsculpt Technician;U;{2}{U};Creature — Jellyfish Artificer;Edge of Eternities;2025-08-01;"Flying
As long as you control an artifact, this creature gets +1/+0.";1/4;1
Steelclad Spirit;U;{1}{U};Creature — Spirit;Innistrad: Crimson Vow;2021-11-19;"Defender
Whenever an enchantment you control enters, this creature can attack this turn as though it didn't have defender.";3/3;1
Uthros Scanship;U;{3}{U};Artifact — Spacecraft;Edge of Eternities;2025-08-01;"When this Spacecraft enters, draw two cards, then discard a card.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying";4/4;1
Chill of the Grave;U;{2}{U};Instant;Innistrad: Crimson Vow;2021-11-19;"This spell costs {1} less to cast if you control a Zombie.
Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card.";/;1
Binding Geist // Spectral Binding;;;Creature — Spirit // Enchantment — Aura;Innistrad: Crimson Vow;2021-11-19;;/;1
Illvoi Galeblade;U;{U};Creature — Jellyfish Warrior;Edge of Eternities;2025-08-01;"Flash
Flying
{2}, Sacrifice this creature: Draw a card.";1/1;1
Inga Rune-Eyes;U;{3}{U};Legendary Creature — Human Wizard;Commander Masters;2023-08-04;"When Inga Rune-Eyes enters, scry 3.
When Inga Rune-Eyes dies, draw three cards if three or more creatures died this turn.";3/3;1
Abstruse Interference;;{2}{U};Instant;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this token: Add {C}."" ({C} represents colorless mana.)";/;3
Cloud Manta;U;{3}{U};Creature — Fish;Battle for Zendikar;2015-10-02;Flying;3/2;2
Selfcraft Mechan;U;{3}{U};Artifact Creature — Robot Artificer;Edge of Eternities;2025-08-01;When this creature enters, you may sacrifice an artifact. When you do, put a +1/+1 counter on target creature and draw a card.;3/4;1
Mental Modulation;U;{1}{U};Instant;Edge of Eternities;2025-08-01;"This spell costs {1} less to cast during your turn.
Tap target artifact or creature.
Draw a card.";/;1
Berg Strider;U;{4}{U};Snow Creature — Giant Wizard;Kaldheim;2021-02-05;When this creature enters, tap target artifact or creature an opponent controls. If {S} was spent to cast this spell, that permanent doesn't untap during its controller's next untap step. ({S} is mana from a snow source.);4/4;1
Mists of Littjara;U;{1}{U};Enchantment — Aura;Kaldheim;2021-02-05;"Flash
Enchant creature or Vehicle
Enchanted creature gets -3/-0.";/;1
Gravity Negator;;{3}{U};Creature — Eldrazi Drone;Oath of the Gatewatch;2016-01-22;"Devoid (This card has no color.)
Flying
Whenever this creature attacks, you may pay {C}. If you do, another target creature gains flying until end of turn. ({C} represents colorless mana.)";2/3;1
Negate;U;{1}{U};Instant;Teenage Mutant Ninja Turtles;2026-03-06;Counter target noncreature spell.;/;1
Steelswarm Operator;U;{1}{U};Artifact Creature — Robot Soldier;Edge of Eternities;2025-08-01;"Flying
{T}: Add {U}. Spend this mana only to cast an artifact spell.
{T}: Add {U}{U}. Spend this mana only to activate abilities of artifact sources.";1/1;1
Windrider Patrol;U;{3}{U}{U};Creature — Merfolk Wizard;Battle for Zendikar;2015-10-02;"Flying
Whenever this creature deals combat damage to a player, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)";4/3;1
Codecracker Hound;U;{2}{U};Creature — Dog;Edge of Eternities;2025-08-01;"When this creature enters, look at the top two cards of your library. Put one into your hand and the other into your graveyard.
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";2/1;2
Cyclone Sire;U;{4}{U};Creature — Elemental;Oath of the Gatewatch;2016-01-22;"Flying
When this creature dies, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.";3/4;1
Psionic Snoop;U;{2}{U};Creature — Human Rogue;Streets of New Capenna;2022-04-29;"Flash
When this creature enters, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)";0/3;1
Rune of Flight;U;{1}{U};Enchantment — Aura Rune;Kaldheim;2021-02-05;"Enchant permanent
When this Aura enters, draw a card.
As long as enchanted permanent is a creature, it has flying.
As long as enchanted permanent is an Equipment, it has ""Equipped creature has flying.""";/;1
Starwinder;U;{5}{U}{U};Creature — Leviathan;Edge of Eternities;2025-08-01;"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";7/7;1
Weave Fate;U;{3}{U};Instant;Magic Origins;2015-07-17;Draw two cards.;/;1
Cruel Witness;U;{2}{U}{U};Creature — Bird Horror;Innistrad: Crimson Vow;2021-11-19;"Flying
Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)";3/3;1
Undercover Operative;U;{2}{U}{U};Creature — Shapeshifter Rogue;Streets of New Capenna;2022-04-29;You may have this creature enter as a copy of any creature on the battlefield, except it enters with a shield counter on it if you control that creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.);0/0;1
Jwar Isle Avenger;U;{4}{U};Creature — Sphinx;Oath of the Gatewatch;2016-01-22;"Surge {2}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Flying";3/3;2
Wanderlight Spirit;U;{2}{U};Creature — Spirit;Innistrad: Crimson Vow;2021-11-19;"Flying
This creature can block only creatures with flying.";2/3;1
Wingshield Agent;U;{2}{U};Creature — Human Soldier;Streets of New Capenna;2022-04-29;"This creature enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
Whenever this creature attacks, up to one other target creature gains flying until end of turn.";2/3;1
All-Fates Stalker;W;{3}{W};Creature — Drix Assassin;Edge of Eternities;2025-08-01;"When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";2/3;1
Dual-Sun Adepts;W;{2}{W};Creature — Human Soldier;Edge of Eternities;2025-08-01;"Double strike
{5}: Creatures you control get +1/+1 until end of turn.";2/2;1
Eagle of the Watch;W;{2}{W};Creature — Bird;Magic Origins;2015-07-17;Flying, vigilance;2/1;1
Zealous Display;W;{2}{W};Instant;Edge of Eternities;2025-08-01;Creatures you control get +2/+0 until end of turn. If it's not your turn, untap those creatures.;/;2
Aegis Angel;W;{4}{W}{W};Creature — Angel;Archenemy: Nicol Bolas;2017-06-16;"Flying (This creature can't be blocked except by creatures with flying or reach.)
When this creature enters, another target permanent gains indestructible for as long as you control this creature. (Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)";5/5;1
Apostle of Purifying Light;W;{1}{W};Creature — Human Cleric;Core Set 2020;2019-07-12;"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
{2}: Exile target card from a graveyard.";2/1;4
Yoked Ox;W;{W};Creature — Ox;Core Set 2020;2019-07-12;;0/4;2
Scout for Survivors;W;{2}{W};Sorcery;Edge of Eternities;2025-08-01;Return up to three target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of them.;/;1
Akroan Jailer;W;{W};Creature — Human Soldier;Magic Origins;2015-07-17;{2}{W}, {T}: Tap target creature.;1/1;1
Sentinel of the Eternal Watch;W;{5}{W};Creature — Giant Soldier;Magic Origins;2015-07-17;"Vigilance (Attacking doesn't cause this creature to tap.)
At the beginning of combat on each opponent's turn, tap target creature that player controls.";4/6;1
Codespell Cleric;W;{W};Creature — Human Cleric;Kaldheim;2021-02-05;"Vigilance
When this creature enters, if it was the second spell you cast this turn, put a +1/+1 counter on target creature.";1/1;1
Dockworker Drone;W;{1}{W};Artifact Creature — Robot;Edge of Eternities;2025-08-01;"This creature enters with a +1/+1 counter on it.
When this creature dies, put its counters on target creature you control.";1/1;1
Pulsar Squadron Ace;W;{1}{W};Creature — Human Pilot;Edge of Eternities;2025-08-01;When this creature enters, look at the top five cards of your library. You may reveal a Spacecraft card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on this creature.;1/2;3
Sunstar Expansionist;W;{1}{W};Creature — Human Knight;Edge of Eternities;2025-08-01;"When this creature enters, if an opponent controls more lands than you, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.";2/3;1
Brightspear Zealot;W;{2}{W};Creature — Human Soldier;Edge of Eternities;2025-08-01;"Vigilance
This creature gets +2/+0 as long as you've cast two or more spells this turn.";2/4;1
Radiant Strike;W;{3}{W};Instant;Edge of Eternities;2025-08-01;Destroy target artifact or tapped creature. You gain 3 life.;/;2
Hold for Ransom;W;{1}{W};Enchantment — Aura;Streets of New Capenna;2022-04-29;"Enchant creature
Enchanted creature can't attack or block and has ""{7}: Hold for Ransom's controller sacrifices it and draws a card. Activate only as a sorcery.""";/;1
Heavy Infantry;W;{4}{W};Creature — Human Soldier;Magic Origins;2015-07-17;When this creature enters, tap target creature an opponent controls.;3/4;1
Piercing Light;W;{W};Instant;Innistrad: Crimson Vow;2021-11-19;Piercing Light deals 2 damage to target attacking or blocking creature. Scry 1. (Look at the top card of your library. You may put that card on the bottom.);/;1
Luxknight Breacher;W;{3}{W};Creature — Human Knight;Edge of Eternities;2025-08-01;This creature enters with a +1/+1 counter on it for each other creature and/or artifact you control.;2/2;2
Beyond the Quiet;W;{3}{W}{W};Sorcery;Edge of Eternities;2025-08-01;Exile all creatures and Spacecraft.;/;1
Weftblade Enhancer;W;{5}{W};Creature — Drix Artificer;Edge of Eternities;2025-08-01;"When this creature enters, put a +1/+1 counter on each of up to two target creatures.
Warp {2}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)";3/4;2
Starfighter Pilot;W;{1}{W};Creature — Human Pilot;Edge of Eternities;2025-08-01;Whenever this creature becomes tapped, surveil 1. (Look at the top card of your library. You may put it into your graveyard.);2/2;1
Auxiliary Boosters;W;{4}{W};Artifact — Equipment;Edge of Eternities;2025-08-01;"When this Equipment enters, create a 2/2 colorless Robot artifact creature token and attach this Equipment to it.
Equipped creature gets +1/+2 and has flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)";/;2
Expedition Raptor;W;{3}{W}{W};Creature — Bird;Battlebond;2018-06-08;"Flying
When this creature enters, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)";2/2;1
Supernatural Rescue;W;{3}{W};Enchantment — Aura;Innistrad: Crimson Vow;2021-11-19;"This spell has flash as long as you control a Spirit.
When you cast this spell, tap up to two target creatures you don't control.
Enchant creature you control
Enchanted creature gets +1/+2.";/;1
Revelation of Power;W;{1}{W};Instant;Streets of New Capenna;2022-04-29;Target creature gets +2/+2 until end of turn. If it has a counter on it, it also gains flying and lifelink until end of turn.;/;1
